fid;cat;value;ws_id;area;precip_mn;PET_mn;AET_mn;wyield_mn;wyield_vol
73;69;182;73;1785;99.93741058655;99.98521890825;82.50201116701;17.43539942092;311050,2807
57;54;116;57;2083;99.97104757328;102.22917337325;82.90095877609;17.07008882896;355273,3805
72;72;184;72;2012;100.38422930148;101.38114913477;82.65578317172;17.72844610482;356361,3669
2;4;152;2;2538;96.64625850340;102.53015345804;82.59396594197;14.05229256143;356427,5412
20;16;144;20;2307;97.66836292767;100.95974401132;82.09565926578;15.57270364546;358938,7049
89;90;68;89;2322;102.15566854176;104.25127711301;86.37832531982;15.77734322507;366135,0488
70;70;98;70;2188;101.09219534459;103.10033007789;84.02149511176;17.07070024534;373141,8651
84;84;112;84;2438;102.03261165577;103.40776445044;86.04785728635;15.98475436942;389480,4928
46;43;36;46;3319;96.47379158820;104.76379932739;84.61349264847;11.86029895366;393388,6865
9;11;12;9;3166;95.77309553872;103.67086535438;83.33351176785;12.43958377838;393578,7984
10;6;6;10;3978;93.29831069752;104.52543981374;83.30759328790;9.99071740751;397192,8748
21;21;18;21;3575;95.33620769587;102.92944984772;83.92457152170;11.41163617695;407617,834
76;74;108;76;1871;101.19678768464;98.24096380978;79.38243375619;21.81435387215;407761,9211
105;99;54;105;2962;100.92966025425;103.97358542135;86.88998277892;14.03967746483;415525,962
118;113;80;118;2314;103.48219780220;99.40519036489;84.65110614846;18.83109165063;435376,5087
24;23;158;24;2936;97.79354966587;101.71955650388;82.56193149983;15.23161816629;446803,501
6;2;2;6;3604;95.09018002490;102.60169776140;82.33692338935;12.75325663966;459226,6945
42;42;160;42;2953;99.18151648104;101.22557244792;82.80767518430;16.37384130396;483152,7196
26;22;130;26;3222;97.64104947836;102.36288685451;82.52985080531;15.11119865612;486538,3819
91;91;170;91;3064;102.60342577488;102.25206329055;86.02077844003;16.58264733433;507707,3842
37;39;26;37;1741;96.89101457614;89.92887936432;66.60009926766;30.29091575204;526963,7847
51;52;166;51;3068;100.32135111689;100.81287937550;83.05823106389;17.26312005080;529211,9627
88;85;72;88;3123;101.99316720257;101.14856965384;84.96865718016;17.02451008589;531236,6817
13;10;148;13;3670;97.30108774804;100.48928811303;81.69123534471;15.60985240274;572476,5472
35;36;140;35;3422;98.14187206573;105.49701531462;81.27773395302;16.86413799877;576581,7593
5;5;154;5;3749;96.79260914084;100.26401157057;81.37869101215;15.41391811134;577433,8946
16;8;34;16;3959;97.32383385744;100.84322396367;82.13394670171;15.18988715573;600842,4893
93;93;76;93;4074;102.53312858313;103.96749426507;87.55814729093;14.97498129192;609630,8045
94;98;74;94;3899;102.20439969215;101.83651686868;85.88532862799;16.31907100767;635885,5175
4;3;132;4;4881;96.80221508052;104.15479974052;83.23319710672;13.56901797230;661771,8981
47;47;118;47;2112;98.41096966840;96.34897524416;66.71160884079;31.69936043353;669052,6013
62;61;44;62;3112;99.67440000000;96.93077274846;78.05114834218;21.62325155114;672348,0283
92;92;50;92;5061;100.03822964288;104.56499452624;86.72278730738;13.31544233994;673357,9405
87;88;88;87;3617;102.30749838098;99.78061609485;82.87239752937;19.43510086197;702336,0071
96;96;174;96;3574;102.32298078717;97.97783872567;82.05404569947;20.26893509015;723761,2538
67;68;114;67;3900;100.71698314943;100.08443603145;81.96111116674;18.75587202280;730948,3787
8;12;138;8;4850;96.52647685854;103.70122766483;81.24556709409;15.28090974494;740546,0317
110;103;62;110;4862;103.37431273367;104.09384648594;87.79813974733;15.57617298658;756710,0812
77;77;110;77;4249;101.43668397043;102.42328883025;83.35177236468;18.08491161136;767896,6703
69;71;168;69;4901;101.38601239107;101.91150023564;83.52204841351;17.86396395617;874866,2024
66;59;100;66;1531;99.87030362604;56.23858239351;40.59109836097;59.27920497084;906685,2192
98;94;198;98;5348;102.15929842229;100.09757107540;85.01740638201;17.14189203952;916028,4166
52;51;188;52;5723;98.87150047653;100.75668251690;82.50145607219;16.37004440407;936116,0044
111;108;200;111;5331;103.35005631688;100.98387229087;85.52137421789;17.82868209904;949757,4915
115;112;78;115;6189;102.96926289352;102.28121160904;86.06816298853;16.90109986477;1045220,023
50;50;120;50;2784;98.74972875226;79.15063763336;59.16368188293;39.58604650665;1101075,09
75;76;48;75;8633;99.60508823529;105.18380631511;86.68758146615;12.91750676846;1114306,001
79;79;180;79;6951;101.28735420955;100.33302718390;82.96481803188;18.32253619049;1272588,273
55;55;102;55;2927;100.65314390049;48.27422444722;36.30947398123;64.34366995176;1881651,004
38;37;28;38;5500;97.42876392926;92.06246724514;62.84636393551;34.58240009350;1900656,577
